Preds,Actual
47.204544,49.06578163
46.314426,47.27372469
47.11637,48.71045941
47.299015,49.77097517
46.349804,49.07878689
45.340614,48.26689151
43.617542,45.31770634
42.866825,43.7357866
43.952705,46.15548079
44.58197,46.47171304
46.040123,47.6269097
43.914795,43.13485431
42.082535,39.94069617
44.445362,46.05386914
44.773335,48.18389108
44.526627,47.63092792
44.16629,47.09987617
44.88597,47.55260979
44.958828,47.04666178
47.155876,49.66540261
47.23053,49.4668515
47.367306,49.23623556
47.82092,49.35066033
47.43089,49.70218682
44.950523,46.29711616
42.76137,42.98600839
45.868214,49.51994117
46.01482,48.7199993
44.178535,44.25553206
43.175358,41.63470459
41.917725,39.90351082
38.548206,35.51926631
33.706203,30.12001437
32.89047,31.27117596
37.40735,40.67656906
32.706028,33.30354041
28.854153,27.71900219
23.121881,21.3260879
20.760265,18.57095358
14.1667385,11.54021996
10.67915,8.262458832
7.9104505,4.938482739
8.589478,6.131444982
7.316184,5.076631669
4.7619762,2.202145881
2.9846375,0.732426006
2.4294107,0.904390357
2.586081,1.410899793
4.2122164,3.310578317
7.4149513,6.589948461
7.174467,6.499176219
6.6086745,5.826083739
7.2024374,6.383344484
12.071107,11.81097929
16.068007,16.17473494
18.929192,18.42738326
20.727999,18.92817028
20.174603,17.30810109
14.894211,11.3935062
15.538612,12.81136676
11.302988,8.78979575
8.496705,6.157182465
10.368051,8.964501345
8.225097,6.852059104
7.884946,6.56869734
8.2473545,7.45253969
9.452208,9.240371091
12.066036,12.55376439
7.032311,6.056914575
9.300542,8.39211119
11.585945,11.16378442
15.38326,15.34126861
14.789555,14.34345152
13.123089,12.13866784
14.773212,13.84368759
13.085766,11.91624593
11.286351,9.807783984
8.469781,6.581118583
6.933798,4.822455065
6.27663,4.265607266
4.213965,2.154953122
2.5189295,0.546635607
1.3620987,0.034124076
0.8346271,0.034124076
0.8489955,0.034124076
0.63611495,0.034124076
0.712163,0.034124076
0.90541655,0.034124076
2.4116452,0.034124076
0.8254096,0.062901863
0.8701209,0.034124076
3.788045,2.115604227
5.290254,6.908603612
5.9721255,8.136709233
4.970374,6.818750806
1.5077978,0.034124076
3.4512148,0.034124076
6.2629795,3.630198623
11.390087,14.80989831
11.716768,15.19956245
14.176458,24.02155744
15.840856,30.24309246
17.984638,38.59429378
16.740993,32.47330349
15.206032,22.50044862
20.395603,4.484654397
31.788296,17.80173488
8.647988,2.583953937
1.3290025,2.132834604
0.8036811,4.358906483
0.03764741,5.504816495
2.8714426,6.286194757
6.663459,8.40941615
7.2042675,8.120944814
8.209852,9.784410406
12.84936,17.98340072
14.484467,19.42937026
12.705692,15.0310266
17.062834,16.24058379
16.756454,15.22603144
18.442886,16.83795296
16.79899,17.15485098
20.151838,21.61769004
19.421186,21.6426404
17.144363,18.41040023
14.445654,15.2341218
15.388185,15.8365188
15.240054,16.04432327
19.454742,20.90821534
21.057041,23.60889137
14.617054,16.01002516
16.731562,17.01148629
19.222895,20.45996682
22.956312,26.01328465
20.458317,22.41255014
22.825974,25.47873888
19.692024,21.19026242
22.803013,24.72440478
26.909805,31.85153513
35.040173,43.57435006
38.698326,47.80314825
39.048912,45.11442911
41.746426,48.01965324
41.837215,45.75283667
34.29132,32.16719094
32.983864,28.03015605
30.351376,29.37437573
23.672087,23.77546531
32.89637,40.23915995
33.45754,43.12326822
32.62189,38.04985922
26.278622,27.0612654
27.28707,28.06673126
26.42029,27.1430607
31.150759,33.85346631
31.265995,34.20162518
24.174448,24.54525201
14.585398,10.95753987
9.774867,3.246890899
5.245973,0.639431283
1.6838775,0.034124076
1.0599833,0.034124076
0.7964995,0.034124076
0.5972773,0.034124076
1.5774224,0.387215171
3.3352823,2.39686418
3.9718606,2.923325907
4.471702,3.341044662
6.1504416,5.392453505
5.4903336,4.572941379
5.885743,4.827511545
2.384453,3.72331665
-0.13766326,1.955783013
3.3109922,4.41961121
4.968615,5.383527976
4.820845,5.075967585
3.2646317,2.655707704
1.3750956,1.446615501
4.4545755,6.569483202
2.076469,4.711852573
8.015913,6.246739466
1.5371293,3.882115823
2.2832909,5.367867636
5.7844625,9.443241278
5.9313283,10.71630954
6.3793154,11.34817485
7.354124,13.16549143
3.8022182,8.355456767
4.166381,8.917260339
3.808824,8.602389964
3.2744386,7.896004777
2.7322824,4.967917773
2.4331484,4.629147945
2.9176092,6.2217436
2.5071673,0.034124076
2.398772,0.034124076
2.5683532,0.034124076
3.37429,0.034124076
1.3393346,0.717304234
1.7257773,2.957991237
1.7005649,3.736124714
1.4283259,4.049224899
1.5062258,3.874629704
2.3514159,4.998716792
2.2569704,4.871762065
2.3780613,5.150250646
2.112874,4.140426521
2.086472,3.920089566
2.753068,4.948406502
3.0109394,5.398632103
1.9586577,2.144417946
2.0086982,1.534424646
2.1172597,1.06291727
1.8639936,0.520834813
1.3156484,0.034124076
0.73956776,0.034124076
0.6560422,0.034124076
0.6738961,0.034124076
0.76896477,0.034124076
0.6579068,0.190975622
0.31671637,0.034124076
0.1270961,0.034124076
0.2964452,0.034124076
0.7081378,0.545824832
0.7204857,0.975899253
1.9284441,3.057801937
2.028298,3.682188085
3.5604796,4.931594128
4.7822022,6.596152341
6.4404473,8.324527965
6.793483,9.019361624
11.039824,12.72675247
10.65051,13.15416913
8.9310255,11.67548164
13.124223,15.02419193
16.705482,19.35620468
15.322598,18.53704314
16.218433,19.04774255
15.910247,18.94149411
16.176868,19.33035595
17.204268,20.40644904
13.936174,17.35239585
10.66519,13.77913656
12.032262,14.15586286
11.651432,14.2164496
9.165006,11.91021187
9.108524,11.51919933
10.198533,12.57261748
8.54369,11.1567163
8.550289,10.92694395
11.475784,13.95380255
12.29292,15.97549109
9.197778,12.56087127
9.249017,12.08419017
7.1721263,10.20781138
5.8970375,8.313182067
5.4611964,7.986643022
5.3645205,8.023781181
4.3039947,6.744889961
2.6674607,3.579397855
2.3559089,2.97692965
2.0335283,2.442299391
1.920015,2.247934624
1.763307,1.798285778
1.4676802,0.825527231
1.2635697,0.500963637
1.1489216,0.263436599
1.0168065,0.336028346
1.1368204,0.758224746
0.99831337,0.084352188
1.1903517,0.164319519
0.92519635,0.031530092
0.8783538,0.034124076
1.2482103,0.229324058
1.3985872,0.344265931
0.9902805,0.034124076
0.7145744,0.034124076
0.95402,0.034124076
1.1470534,0.034124076
1.0486606,0.034124076
0.8233603,0.034124076
0.593926,0.034124076
0.27345902,0.034124076
0.41533634,0.034124076
0.8522827,0.034124076
0.96608627,0.034124076
1.0475606,1.084975005
1.213165,0.826750004
0.99190325,0.034124076
0.9554148,0.034124076
0.85726863,0.034124076
0.84012336,0.034124076
0.8187413,0.034124076
0.62154794,0.034124076
0.80180764,0.034124076
0.35758352,0.034124076
0.07778369,0.034124076
0.08171387,0.034124076
0.05157627,0.034124076
-0.05905032,0.034124076
-0.10161102,0.034124076
-0.30447358,0.034124076
-0.26102886,0.034124076
0.115275756,0.034124076
0.41505545,0.034124076
0.14438555,0.034124076
-0.013787299,0.034124076
-0.17608665,0.034124076
-0.1841072,0.034124076
